,label,title,description
0,2,Oil and Economy Cloud Stocks' Outlook, NEW YORK (Reuters) - Soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums.
1,2,Saudi Arabia to open up oil taps,"Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices."
2,2,Quality Gets Swept Away,Quality Distribution is hammered after reporting a large loss for the second quarter.
3,2,More Big Boobs in Playboy,An interview with Google's co-founders due out in the current issue of Playboy may delay the company's IPO. Securities regulations restrict what executives can say while preparing to sell stock for the first time.
4,2,Paid Search Growth May Slow,A new Internet advertising forecast shows a slowdown in paid search listings in the next five years. Will the projection affect Google's prospects when it goes public?
5,3,"Earth is Rare, New Study Suggests (SPACE.com)","SPACE.com - Flip a coin. Heads, Earth is a common sort of planet. Tails, and ours is as unusual as a coin landing on edge. That's about the state of knowledge for scientists who ponder the question of our planet's rarity."
6,3,India Rethinks Plan to Send Man to Moon (AP),"AP - India is rethinking its plan to send a man to the moon by 2015, as the mission would cost a lot of money and yield very little in return, the national space agency said Thursday."
7,3,Vietnam's Citadel Vulnerable to Weather (AP),"AP - Experts from Europe and Asia surveyed 1,400-year-old relics of an ancient citadel in Hanoi Tuesday and said they were concerned the priceless antiquities were at risk from exposure to the elements."
8,3,Indictments Using DNA on Rise Nationally (AP),"AP - Authorities once had no choice but to drop rape cases if they weren't able to catch a suspect before the statute of limitations expired. But prosecutors across the country increasingly are buying themselves time, keeping cold cases alive by indicting unidentified rapists using their DNA profiles."
9,3,Pacific May Be Seeing New El Nino (AP),AP - Warming water temperatures in the central equatorial Pacific last month may indicate the start of a new El Nino.
10,3,"Mozilla To Add Support For XForms, World Yawns","It's ironic that Microsoft could help further cement its dominance in the browser market by joining its largest rival in an effort to support web standards.  nbsp;At the same time, that act would go a long way towards improving the web in general for developers and users alike."
11,3,Ron Regan Jr is My Kinda Guy,"\\""Now that the country is awash in Reagan nostalgia, some observers are predicting\that you will enter politics. Would you like to be president of the United\States?""\\""I would be unelectable. I'm an atheist. As we all know, that is something\people won't accept.""\\""What would you do if Senator Kerry asked you to be his vice president?""\\""I would question his sanity.""\\""Do you ever go to church?""\\""No. I visit my wife's sangha.""\\""So you sometimes practice Buddhism?""\\""I don't claim anything. But my sympathies would be in that direction. I admire\the fact that the central core of Buddhist teaching involves mindfulness and\loving kindness and compassion.""\\So lets get this straight.  He's an a ...\\"
12,3,Watchdog rules over broadband ,The UK's ad watchdog rules over which net connections can be described as full speed broadband.
13,3,Fake goods tempting young adults,"Young people are increasingly happy to buy pirated goods or illegal download content from the net, a survey shows."
